variable,mean,median,sd,mad,2.5%,97.5%,rhat,ess_bulk,ess_tail,compound,lod,perc_present
icc_log_level_2,0.8484941734629281,0.847470305786576,0.0718019970643824,0.08061586565694553,0.7111911965889295,0.9762106873943949,1.0000535079395199,7413.728624539087,10195.898648483142,X159.0304_0.67412543,14789,1
icc_log_level_3,0.5306828058480946,0.5197177714869811,0.21324606271770274,0.24983486921799097,0.16365271082715613,0.9258283002434341,1.000159419023657,7515.682052114332,10497.934556614995,X159.0304_0.67412543,14789,1
icc_log_minus_centre_nominator,0.3178113676148335,0.3220622765337914,0.14787884928892933,0.1691436042012213,0.04919343838204818,0.5843396960160181,1.0000985042408042,7215.183537960425,10567.79225979785,X159.0304_0.67412543,14789,1
icc_log_minus_centre,0.6757599749948877,0.6786743655552102,0.04760943988031143,0.04730384036574098,0.5738339425488248,0.7597073196603346,1.0000534765237636,4595.589817254114,8192.148740283163,X159.0304_0.67412543,14789,1
wi_sd_log,0.3840927436,0.38289399999999996,0.02394078404896763,0.023808332099999923,0.340977525,0.434392125,0.9999845647505686,7963.814966583313,13337.065242541168,X159.0304_0.67412543,14789,1
bw_sd_log_level_2,0.5573584211,0.5563365,0.04307719939464332,0.04263142170000002,0.4769637,0.644822125,1.0001356635249017,5671.7249645291195,9919.71044348675,X159.0304_0.67412543,14789,1
bw_sd_log_level_3,0.8624184961,0.702604,0.5699582574575112,0.3443553477,0.303706775,2.3850527499999927,1.00006609606551,7612.29395405608,10783.915408063209,X159.0304_0.67412543,14789,1
icc_log_level_2,0.2439618749888509,0.23447037158621153,0.11986350579361518,0.09744086122856643,0.04514566810466574,0.5291618921453843,1.0001077827815692,2550.1502092318037,2560.17472146998,X139.0614_0.80632013,63918,0.9530201342281879
icc_log_level_3,0.04920283328001149,0.011768359342675089,0.10785716226396619,0.016511154962418055,2.4219542890515372e-5,0.38181924165323394,0.999983586411499,4588.533062187557,4122.110146361532,X139.0614_0.80632013,63918,0.9530201342281879
icc_log_minus_centre_nominator,0.19475904170883943,0.19631493757097473,0.08552631847128898,0.0876469150645832,0.020981924876058794,0.35692985435706726,1.0003748885157924,2609.7511944749194,2126.6116823308234,X139.0614_0.80632013,63918,0.9530201342281879
icc_log_minus_centre,0.2050695386080045,0.20738494484038925,0.08671269855393286,0.0881689710112978,0.023598278430163534,0.36785365723113317,1.0003129079193014,2536.688606579097,2088.6761398300105,X139.0614_0.80632013,63918,0.9530201342281879
wi_sd_log,0.22220099705,0.2212945,0.014376763063640254,0.014237407799999999,0.196525975,0.252518775,1.0004651464724592,4425.217108712985,5337.360295822008,X139.0614_0.80632013,63918,0.9530201342281879
bw_sd_log_level_2,0.10986687570804,0.11309,0.028964331749284748,0.025671589649999993,0.03784824,0.1573531,1.000168608056932,2619.860232871731,2114.8103395198855,X139.0614_0.80632013,63918,0.9530201342281879
bw_sd_log_level_3,0.0443514999466545,0.027244400000000002,0.06367612051161406,0.026493565328999998,0.0012271055,0.1955843499999999,0.9999715024536273,4576.398291615514,4079.5822369424227,X139.0614_0.80632013,63918,0.9530201342281879
icc_log_level_2,0.47355862623794565,0.458944244061964,0.11119761916845146,0.0895932310362057,0.29830364689023614,0.7686029197386502,1.0000116632036515,4582.315684431203,7455.765521416148,X385.283_5.609394,25039,1
icc_log_level_3,0.1050509253352411,0.04245159392356064,0.1551563460788089,0.05675294874988279,1.3847215038054496e-4,0.5933282931157059,1.0000749746224622,4313.136881330836,7760.432251745761,X385.283_5.609394,25039,1
icc_log_minus_centre_nominator,0.36850770090270457,0.37702752449231736,0.0913968432770424,0.08421625144974684,0.1524996239406012,0.5233139275286347,1.0001214385006398,5009.3159374069455,8974.040823320413,X385.283_5.609394,25039,1
icc_log_minus_centre,0.4116353482377992,0.4135768556378473,0.07105676868870085,0.071441520470386,0.2655751924084397,0.5441531234138713,1.000067288193749,4637.61556209901,8576.378537323297,X385.283_5.609394,25039,1
wi_sd_log,0.33196266635,0.3309115,0.02025156894692775,0.020062543200000022,0.294879575,0.37436624999999996,1.0001534863681978,6968.240020587041,11778.039067754024,X385.283_5.609394,25039,1
bw_sd_log_level_2,0.27781925155,0.27763400000000005,0.031929400170879134,0.03137107470000008,0.215829775,0.34100927499999995,1.0001071020158148,5676.296681295579,9436.846053064037,X385.283_5.609394,25039,1
bw_sd_log_level_3,0.13347504205293,0.09106715000000001,0.15691329787354635,0.07986855156000001,0.00509373525,0.5215882499999992,1.0000773352945036,4300.960446048256,7483.797847443037,X385.283_5.609394,25039,1
icc_log_level_2,0.756477563838924,0.750666668598325,0.05969151256749952,0.05027308836989482,0.6532355860566343,0.9093870534990817,1.0000627541148444,4186.93345061444,6249.323577575341,X198.075_0.8557893,12085,0.9832214765100671
icc_log_level_3,0.1284147397992196,0.062448774961703604,0.16973740023856293,0.0753544620653205,4.411688970176632e-4,0.6639585285874502,0.9999854479526398,3133.4959751576675,5117.038372786209,X198.075_0.8557893,12085,0.9832214765100671
icc_log_minus_centre_nominator,0.6280628240397044,0.6650838625006624,0.1289608047968656,0.08005178859584079,0.24205162644307618,0.7729552970517765,1.0001466123983942,3997.8164285993034,6356.316809457743,X198.075_0.8557893,12085,0.9832214765100671
icc_log_minus_centre,0.7202849494542134,0.7228748284812778,0.0424479228566234,0.04160640379148488,0.6296262264165735,0.7970654810856402,1.000276787524954,4508.968634261487,9015.405694484545,X198.075_0.8557893,12085,0.9832214765100671
wi_sd_log,0.34622670995,0.3452285,0.02143717584283496,0.020958033600000012,0.30703467500000003,0.39121859999999997,1.0000031605954904,7961.268446628571,13531.130779198847,X198.075_0.8557893,12085,0.9832214765100671
bw_sd_log_level_2,0.55879222825,0.5567815,0.041835518014286956,0.041438670000000045,0.481333675,0.6463276499999999,1.000330262094956,5261.742425412632,9401.650850188114,X198.075_0.8557893,12085,0.9832214765100671
bw_sd_log_level_3,0.23839183482835,0.16987200000000002,0.2570817539450831,0.12854571954000002,0.013993695000000002,0.911306449999998,0.9999771013408425,3124.1940830149556,5087.130495659627,X198.075_0.8557893,12085,0.9832214765100671
