centre,variable,mean,median,sd,mad,2.5%,97.5%,rhat,ess_bulk,ess_tail,compound,lod,perc_present
Basel,wi_sd_log,0.102325270725,0.1012405,0.011499770841680905,0.011273838660000004,0.0827438425,0.1272422,1.0002008736378651,3222.5754666583284,5159.32733701882,X430.3797_8.8398905,116169,1
Basel,bw_sd_log,0.195254725625,0.19329249999999998,0.024438160652325125,0.023569633500000013,0.1524333,0.24840737499999993,1.000231015223463,1594.1367423925471,2454.23011390329,X430.3797_8.8398905,116169,1
Basel,icc_data,0.2869301186169751,0.2919306008209794,0.12687427641848195,0.1307064957551776,0.026935462801476417,0.5246967846904509,1.0013123308045173,1316.14617087796,1238.3115101897458,X280.1054_2.656151,10791,0.7252747252747253
Basel,icc_log,0.3486512684074823,0.35870633411150343,0.14482035114828068,0.14704214936785773,0.0362516627531007,0.6078301464658227,1.001361556196401,1323.5680385634473,1242.8996336063706,X280.1054_2.656151,10791,0.7252747252747253
Basel,wi_sd_data,17347.85777397656,16737.206229782947,3922.0153339602143,3442.3412501019434,11655.636815588712,26812.887713865886,1.0003088532772477,6018.9506736867925,7154.135895418224,X280.1054_2.656151,10791,0.7252747252747253
Basel,bw_sd_data,10779.19112454482,10488.416964081684,4035.082199478241,3429.084488124627,3238.0182022284052,19482.10366303422,1.0007028580183952,1737.8495029590013,1379.5737604585838,X280.1054_2.656151,10791,0.7252747252747253
Basel,wi_sd_log,0.62359320175,0.6156919999999999,0.08392015472930667,0.08339773260000007,0.480645725,0.8056602749999997,1.0007098355600932,2207.7012888211157,3409.968964605141,X280.1054_2.656151,10791,0.7252747252747253
Basel,bw_sd_log,0.4484633054375,0.4540075,0.12984890709408578,0.11718618659999999,0.14698990000000003,0.686924175,1.0013546178196948,1504.6051732410438,1294.2018317257025,X280.1054_2.656151,10791,0.7252747252747253
Basel,icc_data,0.5688169493513933,0.5790566682751253,0.09868622825801797,0.0930196862725541,0.3471755005641506,0.7323463185606244,0.9999737136157685,1680.5690708599159,2640.7449120901006,X584.2634_4.3324895,25062,0.978021978021978
Basel,icc_log,0.6176082276752093,0.6291262580064885,0.09972806678773145,0.09366057032284036,0.39070658581267437,0.7818151915125273,1.000020831185706,1667.1279440720832,2624.5149783293364,X584.2634_4.3324895,25062,0.978021978021978
Basel,wi_sd_data,71877.22810384662,70448.41166912304,12511.076722543468,11613.29907198792,51340.10918609724,100611.56392892242,1.0010945682648922,4017.7121574947437,5104.494675446857,X584.2634_4.3324895,25062,0.978021978021978
Basel,bw_sd_data,83890.34716356361,81120.27621463191,19800.715471194777,17771.948313430632,53088.73803142333,130549.8833396159,1.0010519506130184,2104.652681922399,3466.961104182544,X584.2634_4.3324895,25062,0.978021978021978
Basel,wi_sd_log,0.39750936875,0.393399,0.0457375524514764,0.04413255420000002,0.32014487500000005,0.49990274999999995,0.9999245229911893,2699.703268541022,4155.6742535937465,X584.2634_4.3324895,25062,0.978021978021978
Basel,bw_sd_log,0.512740696375,0.508281,0.079070788894414,0.07586019420000002,0.366388325,0.675980625,1.0003893928476237,1995.4766949283053,3265.7549444720235,X584.2634_4.3324895,25062,0.978021978021978
Basel,icc_data,0.6526541348122289,0.6614008482606961,0.08228167576429438,0.08032075553570374,0.4697227237248632,0.7880984660838901,1.0000240633571682,1776.0202688876177,3239.886082412034,X584.2635_5.128449,60230,1
Basel,icc_log,0.6893952153330843,0.6983818867032945,0.08121379571411379,0.07890225094364076,0.5055215148415717,0.821494302355455,1.0000513823236143,1727.0668166110268,3114.8782872930174,X584.2635_5.128449,60230,1
Basel,wi_sd_data,74123.43387648789,72625.21273909886,12009.396690391011,11351.796079098178,55193.67652803996,101713.30187028149,0.9999223127635966,4109.720316152535,5452.592618974737,X584.2635_5.128449,60230,1
Basel,bw_sd_data,103376.83041619693,100495.73053386455,21474.291231421907,19417.189252954046,69929.74538501294,154199.3002141965,1.000262126484192,2155.967838987584,3801.6517589814357,X584.2635_5.128449,60230,1
Basel,wi_sd_log,0.32430307775,0.3205095,0.03638080657049531,0.03498639480000001,0.26353882500000003,0.4050874749999999,1.000081501635641,3385.171122407044,4337.470702442225,X584.2635_5.128449,60230,1
Basel,bw_sd_log,0.49103270775,0.48642799999999997,0.06682890113536553,0.0652351413,0.37285609999999997,0.6379488249999998,1.000238151352172,1947.2543303597668,2927.9980830606837,X584.2635_5.128449,60230,1
Basel,icc_data,0.7479382320766913,0.7547218138478438,0.05562954746097592,0.05308524844074744,0.6195279764482794,0.837239938694587,1.0002593142341891,2008.1058281061255,3396.4943641459554,X194.0807_3.1847517,434316,1
Basel,icc_log,0.822320593146898,0.8286553135743246,0.0489057857650013,0.04554380280535259,0.7077513790278384,0.9003705126050235,1.0001994743732094,1688.7924967069544,3227.8578472324493,X194.0807_3.1847517,434316,1
Basel,wi_sd_data,25473869.60400738,24092554.54084392,7279145.816026164,6159177.102370473,15480886.823570807,43002499.94323089,1.0001095683780743,1593.606797199625,3222.153031517302,X194.0807_3.1847517,434316,1
Basel,bw_sd_data,44762744.7326858,41658500.066166595,14611406.591519436,11793659.322469093,25750236.5632398,80340883.89165427,1.000019973820638,1304.8081722812365,2932.3767292658044,X194.0807_3.1847517,434316,1
Basel,wi_sd_log,0.40660772675,0.4024995,0.04482853537940557,0.04291311570000002,0.330128725,0.5055813,1.0003083439264344,3383.716091034608,4366.634831648142,X194.0807_3.1847517,434316,1
